proposer,proposals
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,42
0xb03e094e643a50e145e804b35787c28292e6afe4,10
0xb49c54edfe1cfe5ac83e74b179474f6224d0763f,2
0x1b6f3e48c7d235293f59b14d4c0a1ccba55411b4,2
0x87feed6162cb7dfe6b62f64366742349bf4d1b05,24
0x1c71e95869093c4bd0ab57ce0abf0c8390f9adb6,2
0x69dc230b06a15796e3f42baf706e0e55d4d5eaa1,7
0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,56
0x17296956b4e07ff8931e4ff4ea06709fab70b879,42
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,44
0x5d36a202687fd6bd0f670545334bf0b4827cc1e2,31
0xdfc65e0292573311df30ea4de81f941bcd726ab6,31
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,40
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,44
0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,38
0x98c366dbe6d98a2d6a3ed471608921b03f3abcca,2
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,41
0x3ef1b0db4d10d2e3ce06699c0bd4ef0aaf897614,36
0xfdfc6e1bbec01288447222fc8f1aee55a7c72b7b,20
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,34
0x9934465ee73beaf148b1b3ff232c8cd86c4c2c63,9
0x9d31e30003f253563ff108bc60b16fdf2c93abb5,40
0xbec643bd5b7f5e9190617ca4187ef0455950c51c,26
0x56edf679b0c80d528e17c5ffe514dc9a1b254b9c,32
0xecbdda9c9fa136389ab212edb5e7295b266f7277,2
0x89bea38c693beac5a52d29afdf9b0c594d5b8427,2
0x5f4bcccb5c2cbb01c619f5cfed555466e31679b6,45
0x9b68c14e936104e9a7a24c712beecdc220002984,29
0xa0864acd924c3e68fe2a14d3102b03155e607434,2
0x4a1158353b1c279788eb18f16c5ddc7699ee7e46,2
0x66d071a20d7942767739bbca130e08e4848d12bc,42
0x17c2d875cb397d813eae817dafd25807e348df07,4
0xb5b069370ef24bc67f114e185d185063ce3479f8,1
